# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "./Fixed_analysis/mm10.refGene.gtf" "-o" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/mT5-RNAseq_gene_counts_fixed.txt" "-t" "exon" "-g" "gene_id" "-T" "8" "-p" "-s" "0" "--ignoreDup" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Kras242_S117.marked.bam" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Kras467_S118.marked.bam" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Rac1_11_S119.marked.bam" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Rac1_14_S120.marked.bam" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Ren2_S125.marked.bam" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Ren_S116.marked.bam" 
Geneid	Chr	Start	End	Strand	Length	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Kras242_S117.marked.bam	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Kras467_S118.marked.bam	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Rac1_11_S119.marked.bam	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Rac1_14_S120.marked.bam	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Ren2_S125.marked.bam	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Ren_S116.marked.bam
Mir7653	chr11	78178827	78178887	+	61	0	0	0	0	0	0
Tor2a	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	32757234;32757234;32757234;32757234;32757234;32757234;32758671;32758671;32758671;32758671;32758757;32758757;32759527;32759527;32759527;32759527;32759527;32759530;32760589;32760589;32760589;32760589;32760589;32761496;32761496;32761496;32761496;32761496;32761496	32757539;32757450;32757450;32757450;32757450;32757450;32758936;32758936;32758936;32758936;32758936;32758936;32759702;32759702;32759702;32759702;32759702;32759702;32760716;32760716;32760720;32760716;32760716;32762244;32762244;32762244;32762244;32762244;32762244	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1629	1477	1923	1452	1920	2547	2362
1810020O05Rik	chr6;chr6;chr6;chr6;chr6	87675593;87679827;87680151;87681104;87690548	87675896;87679983;87680271;87681268;87690847	-;-;-;-;-	1047	2	0	0	8	6	5
Lrp12	chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15	39870590;39870590;39876087;39876087;39877795;39877795;39880120;39880120;39885006;39885006;39904539;39943604;39943604	39872878;39872878;39876219;39876219;39878899;39878899;39880322;39880322;39885141;39885141;39904595;39943994;39943994	-;-;-;-;-;-;-;-;-;-;-;-;-	4314	318	399	220	751	628	692
Gnat2	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	108093066;108093194;108095141;108095439;108096350;108097967;108098311;108099988;108100613	108093093;108093366;108095183;108095580;108096507;108098095;108098440;108100141;108101430	+;+;+;+;+;+;+;+;+	1775	102	99	124	170	235	257
Aplnr	chr2	85136360	85139923	+	3564	16	18	14	44	62	46
Agr2	chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12	35992925;35995510;35995895;35996075;35997423;35998583;36001686;36003852	35992969;35995655;35995958;35996127;35997496;35998646;36001769;36004081	+;+;+;+;+;+;+;+	760	5893	125	35264	194	2900	2822
Adamts5	chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16	85858157;85866620;85868026;85868539;85869914;85877870;85887817;85899164	85863177;85866795;85868201;85868722;85870197;85878037;85887949;85901125	-;-;-;-;-;-;-;-	8104	8	18	4	6	4	6
H2-Eb1	chr17;chr17;chr17;chr17;chr17;chr17	34305867;34309591;34314170;34315043;34315556;34315874	34306047;34309860;34314451;34315153;34315579;34316674	+;+;+;+;+;+	1669	20	16	6	8	8	4
H2-Ea	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	34341952;34341952;34342922;34342922;34343628;34343628;34344398;34344398	34342295;34342295;34343090;34343090;34343909;34343909;34344645;34344645	-;-;-;-;-;-;-;-	1043	0	0	0	0	0	2
Elavl1	chr8;chr8;chr8;chr8;chr8;chr8	4284782;4295336;4301685;4304927;4311599;4324886	4289924;4295561;4301838;4305030;4311786;4325100	-;-;-;-;-;-	6030	3337	4338	3592	5828	6014	5993
Slc6a4	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	76998597;77010332;77012921;77013199;77015073;77016629;77016984;77018240;77019125;77019842;77021391;77023175;77027084;77031603	76998675;77010783;77013055;77013418;77015211;77016763;77017087;77018367;77019237;77019973;77021490;77023275;77027251;77032343	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2747	0	0	0	4	0	1
Htr1b	chr9;chr9	81628291;81633686	81632871;81633832	-;-	4728	29	3	12	20	115	79
Mir6925	chr11	70705990	70706059	+	70	0	0	0	0	0	0
Mir6924	chr11	69882032	69882094	-	63	0	0	0	1	1	7
Gm3776	chr9;chr9;chr9;chr9;chr9;chr9;chr9	78257129;78258690;78261556;78262402;78265968;78268010;78268936	78257203;78258798;78261607;78262534;78266109;78268141;78269166	+;+;+;+;+;+;+	874	37	21	53	31	182	108
Aasdhppt	chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9	4294793;4294793;4294793;4294793;4299298;4299298;4299298;4299298;4302470;4302470;4302470;4302470;4303094;4303094;4308694;4308694;4308694;4308734;4309254;4309254;4309288;4309288	4296839;4296839;4296839;4296839;4299369;4299369;4299369;4299369;4302631;4302631;4302631;4302631;4303215;4303215;4308919;4308919;4308919;4308919;4309494;4309494;4309494;4309494	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2870	5145	4734	4188	6632	6976	9657
Atp11c	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	60223283;60223283;60223283;60229148;60229923;60236557;60236557;60236557;60238470;60238470;60238470;60240773;60240773;60240773;60242762;60242762;60242762;60245164;60245164;60245164;60247889;60247889;60247889;60260161;60260161;60260161;60261652;60261652;60261652;60266736;60266736;60266736;60269734;60269734;60269734;60276608;60276608;60276608;60277377;60277377;60277377;60278794;60278794;60278794;60280032;60280032;60280032;60280657;60280657;60280657;60281568;60281568;60281568;60289894;60289894;60289894;60290570;60290570;60290570;60291920;60291920;60291920;60292319;60292319;60292319;60293607;60293607;60293607;60295189;60295189;60295189;60296961;60296961;60296961;60304225;60304225;60304225;60307197;60307197;60307197;60309716;60309716;60309716;60321434;60321434;60321434;60403805;60403805;60403805	60225793;60225793;60225793;60229252;60230013;60236710;60236710;60236710;60238573;60238573;60238573;60240838;60240838;60240838;60242897;60242897;60242897;60245291;60245291;60245291;60247948;60247948;60247948;60260306;60260306;60260306;60261754;60261754;60261754;60266910;60266910;60266910;60269997;60269997;60269997;60276789;60276789;60276789;60277480;60277480;60277480;60278867;60278867;60278867;60280103;60280103;60280103;60280808;60280808;60280808;60281729;60281729;60281729;60290091;60290091;60290091;60290720;60290720;60290720;60292001;60292001;60292001;60292383;60292383;60292383;60293657;60293657;60293657;60295292;60295292;60295292;60297089;60297089;60297089;60304332;60304332;60304332;60307277;60307277;60307277;60309805;60309805;60309805;60321553;60321553;60321553;60404005;60404005;60404005	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6169	2412	2627	1896	2990	3489	3504
Gpr20	chr15;chr15	73694607;73707321	73696562;73707505	-;-	2141	6	0	54	0	4	0
Zfp445	chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9	122848910;122848910;122848910;122854707;122854707;122854707;122856699;122856699;122856699;122857067;122857103;122857103;122857470;122857470;122857470;122861709;122861709;122861709;122865914;122865914;122865914	122853988;122853988;122853988;122854817;122854817;122854817;122856825;122856825;122856825;122857161;122857161;122857161;122857638;122857638;122857638;122862344;122862344;122862259;122866006;122866006;122866006	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6310	9698	6824	11788	20472	19553	20451
Agrn	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	156165290;156165292;156166911;156166911;156167282;156167282;156167777;156168546;156168733;156168733;156168903;156168903;156169220;156169220;156169546;156169770;156169770;156170066;156170066;156170315;156170315;156170579;156170579;156170801;156170801;156171402;156171402;156171788;156171788;156172075;156172075;156172562;156172562;156172768;156172768;156173003;156173003;156173543;156173543;156173785;156173785;156174177;156174177;156174356;156174356;156174571;156174571;156174856;156174856;156175100;156175100;156176219;156176219;156176404;156176404;156176634;156176634;156176956;156176956;156177223;156177223;156178429;156178429;156178783;156178783;156179098;156179098;156179393;156179393;156185088;156185088;156185551;156190168;156195244;156195244;156197214;156197214	156166653;156166653;156167014;156167014;156167506;156167506;156167809;156168569;156168820;156168820;156169095;156169095;156169336;156169336;156169557;156169881;156169881;156170230;156170230;156170411;156170411;156170713;156170713;156171030;156171030;156171617;156171617;156171980;156171980;156172422;156172422;156172681;156172681;156172882;156172882;156173130;156173130;156173680;156173680;156174090;156174090;156174282;156174282;156174480;156174480;156174714;156174714;156175020;156175020;156175216;156175216;156176324;156176324;156176552;156176552;156176834;156176834;156177150;156177150;156177441;156177441;156178635;156178635;156179007;156179007;156179322;156179322;156179608;156179608;156185135;156185135;156186259;156190976;156195505;156195505;156197488;156197488	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8966	51738	57412	44510	79897	35827	42007
Magea1	chrX	155088519	155089790	-	1272	0	0	0	0	0	0
Med6	chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12	81573557;81573557;81573557;81574525;81574525;81574525;81579570;81579570;81581801;81581801;81581801;81582633;81582633;81582633;81588983;81588983;81588983;81591254;81591254;81591254;81593881;81594940;81594940;81594940	81573960;81573960;81573960;81574552;81574552;81574552;81579685;81579685;81581909;81581909;81581909;81582715;81582715;81582715;81589074;81589074;81589074;81591413;81591413;81591413;81593947;81595008;81595008;81595008	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1128	3247	3517	3031	4295	4043	4945
Klf3	chr5;chr5;chr5;chr5;chr5;chr5	64803523;64816735;64821874;64822879;64827110;64828977	64803791;64816830;64822357;64823029;64827270;64830129	+;+;+;+;+;+	2314	6553	8374	7870	9803	7833	9488
Slurp2	chr15;chr15;chr15	74742839;74743385;74746624	74743133;74743489;74746687	-;-;-	464	4	12	23	10	17	12
Pkn1	chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8	83669762;83669762;83670739;83670739;83670922;83670922;83671299;83671299;83671717;83671717;83671907;83671907;83672156;83672156;83673302;83673302;83673481;83673481;83673631;83673631;83677524;83677524;83677706;83677706;83677931;83677931;83680954;83680954;83681180;83681180;83683399;83683399;83684003;83684003;83684636;83684636;83687040;83687040;83691049;83691049;83692636;83692636;83693960;83698967	83670368;83670368;83670819;83670819;83671029;83671029;83671441;83671441;83671793;83671793;83671969;83671969;83672332;83672332;83673393;83673393;83673556;83673556;83673710;83673710;83677617;83677617;83677847;83677847;83678006;83678006;83681097;83681097;83681289;83681289;83683593;83683593;83684216;83684216;83684781;83684781;83687184;83687184;83691200;83691200;83692936;83692936;83694061;83699179	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3538	2415	2838	2592	3645	4154	3728
Pqbp1	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	7894519;7894519;7894519;7895165;7895165;7895165;7895604;7895604;7895604;7895993;7895993;7895993;7896301;7896301;7896301;7898551;7898551;7898551;7898771;7898966;7899169	7894867;7894867;7894867;7895228;7895228;7895228;7895882;7895882;7895882;7896105;7896105;7896105;7896412;7896412;7896412;7898636;7898636;7898636;7899000;7899000;7899269	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1334	2057	2542	2140	3492	3573	3789
Ly6i	chr15;chr15;chr15;chr15;chr15;chr15;chr15	74979534;74979534;74981886;74981886;74982990;74982990;74983331	74980131;74980131;74982002;74982002;74983430;74983072;74983430	-;-;-;-;-;-;-	1156	167	228	81	77	202	260
Gm9789	chr16	89157916	89158408	+	493	0	0	0	0	0	0
Urah	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	140835138;140835279;140835279;140835612;140835612;140836747;140836747;140836747;140837686;140837686;140837686	140835258;140835751;140835402;140835751;140835751;140836882;140836882;140836882;140837971;140837971;140837971	+;+;+;+;+;+;+;+;+;+;+	1016	608	574	1170	1637	870	827
Fbxl21	chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13	56522472;56522472;56522472;56523510;56523510;56523510;56525642;56526915;56526915;56526915;56527718;56527718;56532293;56532293;56536824;56536824	56522622;56522622;56522622;56523603;56523603;56523603;56525772;56527281;56527281;56527465;56527840;56527840;56532464;56532464;56537898;56537898	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2297	108	91	90	162	138	113
Rdx	chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9	52047150;52047941;52047941;52060832;52060832;52060832;52063578;52063578;52063578;52064860;52064860;52064860;52065645;52065645;52065645;52067361;52067361;52067361;52068130;52068130;52068130;52068807;52068807;52068807;52069615;52069615;52069615;52073154;52073154;52073154;52074985;52081019;52081019;52082443;52082443;52085103;52085103;52086315;52086315	52047235;52048432;52048432;52060903;52060903;52060903;52063661;52063661;52063661;52064955;52064955;52064955;52065919;52065919;52065919;52067444;52067444;52067444;52068276;52068276;52068276;52068903;52068903;52068903;52069778;52069778;52069778;52073284;52073284;52073284;52075177;52081179;52081179;52082535;52082535;52085345;52085345;52088738;52088738	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4842	23869	31208	23475	29967	30101	32170
Rpl28	chr7;chr7;chr7;chr7;chr7	4792965;4793321;4793503;4794064;4794418	4792998;4793409;4793626;4794182;4794547	+;+;+;+;+	496	27432	25225	31363	31838	32002	34615
Htra3	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	35652026;35654071;35655544;35661559;35663963;35663963;35665414;35665414;35666050;35666050;35668183;35668183;35671032;35671032;35678944;35678944	35653122;35654166;35655592;35662264;35664077;35664077;35665446;35665446;35666244;35666244;35668405;35668405;35671131;35671131;35679780;35679780	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3451	6	31	27	21	23	9
Mrpl9	chr3;chr3;chr3;chr3;chr3;chr3;chr3	94443336;94443659;94444587;94444901;94446636;94447260;94447786	94443494;94443815;94444711;94444951;94446737;94447343;94448708	+;+;+;+;+;+;+	1601	6307	6918	7757	8719	7757	8713
Gm16451	chr7;chr7	20121656;22117322	20122579;22118245	-;-	1848	0	0	0	0	0	0
Cnih2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	5092868;5092868;5093672;5093672;5093920;5093920;5094284;5094284;5094706;5094732;5098183;5098183	5093497;5093497;5093815;5093815;5094032;5094032;5094331;5094331;5094800;5094800;5098521;5098521	-;-;-;-;-;-;-;-;-;-;-;-	1369	80	54	91	134	137	125
Lilra6	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	3908280;3908280;3911410;3911410;3911956;3912480;3912480;3912913;3912913;3914334;3914334;3914789;3914789;3915252;3915252;3915442	3908822;3908822;3911712;3911712;3912252;3912788;3912788;3913197;3913197;3914639;3914639;3915073;3915073;3915501;3915287;3915501	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2578	1	4	8	6	0	4
Gjb6	chr14;chr14;chr14;chr14;chr14;chr14	57123301;57123301;57130709;57130800;57133186;57133186	57124816;57124816;57130964;57130964;57133611;57133611	-;-;-;-;-;-	2198	0	0	0	0	2	2
Rbm25	chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12	83632243;83632243;83635710;83639128;83639128;83642402;83642629;83642629;83642629;83644399;83644399;83644399;83646137;83646137;83646137;83648198;83648198;83648198;83651287;83651287;83651287;83659423;83659423;83659423;83660308;83660308;83660308;83660595;83660595;83660595;83663979;83663979;83663979;83668092;83668092;83668092;83668419;83668419;83668419;83671908;83671908;83671908;83672734;83672734;83672734;83674339;83674339;83674339;83675044;83675044;83675044;83676082;83676082;83676082;83677855;83677855;83677855;83681503;83681503;83681503	83632417;83632417;83635803;83639191;83639191;83642519;83642749;83642749;83642749;83644448;83644448;83644448;83646304;83646304;83646304;83648255;83648255;83648255;83651444;83651444;83651444;83659608;83659608;83659608;83660361;83660361;83660361;83660678;83660678;83660678;83664259;83664259;83664259;83668308;83668308;83668308;83668508;83668508;83668508;83671981;83671981;83671981;83672884;83672884;83672884;83674663;83674663;83674663;83675318;83675318;83675318;83676180;83676180;83676180;83677902;83677902;83677902;83683127;83683127;83683127	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4515	10402	10763	9926	15808	16619	15669
Klhl36	chr8;chr8;chr8;chr8;chr8	119862305;119865003;119869622;119874375;119876297	119862447;119865079;119870692;119874532;119876989	+;+;+;+;+	2142	756	941	911	1031	1166	1046
Rfwd3	chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8	111270944;111273811;111276220;111278195;111279886;111282517;111283275;111288058;111288229;111290871;111293991;111297135;111300135	111273163;111274022;111276434;111278371;111280036;111282745;111283389;111288149;111288411;111290938;111294175;111297642;111300222	-;-;-;-;-;-;-;-;-;-;-;-;-	4443	3743	4680	4172	6105	7994	7521
A730056A06Rik	chr7;chr7;chr7;chr7;chr7	73313806;73313806;73332428;73375517;73375517	73316442;73316442;73332505;73375774;73375774	-;-;-;-;-	2973	0	8	0	0	0	0
Dleu7	chr14;chr14	62276229;62292528	62277108;62292979	-;-	1332	0	0	0	0	0	0
Plac8	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	100553726;100553726;100556480;100556480;100559752;100559752;100562625;100562625;100562841;100572145	100553988;100553988;100556595;100556595;100559876;100559876;100562762;100562762;100563096;100572205	-;-;-;-;-;-;-;-;-;-	959	26476	20210	18844	3172	12582	16300
Paip2b	chr6;chr6;chr6;chr6;chr6	83806059;83809899;83814722;83831271;83831635	83808892;83810075;83814869;83831328;83831741	-;-;-;-;-	3324	3982	5209	4319	6260	6944	7257
Fgd2	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	29360914;29360914;29363708;29363711;29364911;29364911;29365462;29365462;29366971;29366971;29367271;29367271;29367921;29367921;29368184;29368184;29369245;29369245;29373218;29373218;29373384;29373384;29374011;29374011;29374847;29374847;29376828;29376828;29378313;29378313;29378845;29378845	29361157;29361157;29363942;29363942;29364991;29364991;29365610;29365610;29367127;29367127;29367409;29367409;29367979;29367979;29368330;29368330;29369337;29369337;29373297;29373297;29373414;29373414;29374103;29374103;29374978;29374978;29376974;29376974;29378459;29378459;29379535;29379535	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2625	329	257	594	492	248	197
Dynlt1a	chr17;chr17;chr17;chr17;chr17	6306344;6311293;6311709;6314917;6317374	6310943;6311370;6311832;6314958;6317474	-;-;-;-;-	4945	1400	1642	944	1289	1726	2054
Axl	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	25756500;25756500;25756500;25760751;25760751;25760751;25761405;25761405;25761405;25763284;25763284;25763284;25763943;25763943;25763943;25764422;25764422;25764422;25766518;25766518;25766518;25766793;25766793;25766793;25770218;25770218;25770218;25770633;25770633;25770633;25773099;25773099;25773343;25773343;25774084;25774084;25774515;25774515;25774515;25778370;25778370;25778370;25778624;25778624;25778624;25785834;25785834;25785834;25786887;25786887;25786887;25787291;25787291;25787291;25788415;25788415;25788415	25759013;25759013;25759013;25760887;25760887;25760887;25761564;25761564;25761564;25763393;25763393;25763393;25764064;25764064;25764064;25764514;25764514;25764514;25766595;25766595;25766595;25766888;25766888;25766888;25770309;25770309;25770309;25770765;25770765;25770765;25773125;25773125;25773493;25773493;25774223;25774223;25774725;25774725;25774725;25778485;25778485;25778485;25778704;25778704;25778704;25786010;25786010;25786010;25786987;25786987;25786987;25787516;25787516;25787516;25788733;25788733;25788733	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5084	2	0	14	4	94	26
1700092M07Rik	chr19;chr19	8740718;8740975	8740846;8741225	+;+	380	11	7	6	15	8	10
Snord49a	chr11	62603460	62603521	+	62	48	38	28	63	74	74
2210409D07Rik	chr18;chr18;chr18	57632079;57636008;57638479	57632301;57636135;57638585	-;-;-	458	2	2	1	0	0	0
Adora1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	134199215;134199215;134199215;134199215;134199215;134234015;134234015;134234015;134234663;134235228;134235228;134235228	134203590;134203590;134203590;134203590;134203590;134235457;134234412;134234446;134234856;134235457;134235457;134235457	-;-;-;-;-;-;-;-;-;-;-;-	5819	827	618	2430	3109	319	236
Ccne2	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	11191351;11191709;11191709;11192681;11192681;11192681;11192815;11192815;11192818;11192993;11192993;11192993;11193926;11193926;11193926;11195020;11195020;11195020;11197153;11197153;11197153;11198729;11198729;11198729;11199297;11199297;11199297;11201305;11201305;11201305;11202190;11202190;11202190;11202985;11202985;11202985	11191544;11191815;11191815;11192717;11192717;11192717;11192911;11192911;11192911;11193046;11193046;11193046;11194077;11194077;11194077;11195155;11195155;11195155;11197299;11197299;11197299;11198824;11198824;11198824;11199431;11199431;11199431;11201416;11201416;11201416;11202347;11202347;11202347;11204779;11204779;11204779	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3220	778	865	478	1181	1161	1651
